"Gene_set","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"BIOCARTA_LYM_PATHWAY",1.26437751930286,-0.108418499758118,10.2809970715866,3.27456596847598e-07,5.44304777342026e-05,7.00977932113864
"BIOCARTA_BLYMPHOCYTE_PATHWAY",1.2639064952741,-0.0938207986240609,8.91151501361654,1.46435887155796e-06,7.94414687820193e-05,5.44434341314292
"BIOCARTA_TCYTOTOXIC_PATHWAY",1.20214419542251,-0.124314539994407,9.51775611852209,7.38897285961006e-07,5.44304777342026e-05,6.16011728875214
"BIOCARTA_THELPER_PATHWAY",1.19162774598152,-0.128039026393228,9.50118753709743,7.52495083882985e-07,5.44304777342026e-05,6.14105224971593
"BIOCARTA_ASBCELL_PATHWAY",1.18092707560592,-0.0978725776797656,7.02521584290359,1.57564022144075e-05,0.000379904364502936,2.95221494743276
"BIOCARTA_TCAPOPTOSIS_PATHWAY",1.06545503742571,-0.129504069320548,6.54763474544011,3.07624687706261e-05,0.000513496594094298,2.25026861361611
"BIOCARTA_IL5_PATHWAY",1.05112265841259,-0.0059060891015338,5.22829899197023,0.000229346901794647,0.00248841388447192,0.148416981643947
"BIOCARTA_DC_PATHWAY",1.04050677625584,-0.130193236090814,7.56358870962203,7.67173263259306e-06,0.000286365514399186,3.70757959979952
"BIOCARTA_TCRA_PATHWAY",1.03979283443301,-0.107379877771209,6.7918994038435,2.17672010522479e-05,0.000429407511667072,2.61311137499855
"BIOCARTA_MONOCYTE_PATHWAY",1.03760981635538,-0.0516550935498587,7.53939388480287,7.91794049030007e-06,0.000286365514399186,3.67442619961629
"BIOCARTA_CTL_PATHWAY",1.02958473155907,-0.0754031777244144,7.12655521332936,1.37225615567238e-05,0.000372224482226134,3.09726056483626
"BIOCARTA_IL17_PATHWAY",1.00173683691211,-0.141147920830624,6.86274313036243,1.97182123180957e-05,0.000427885207302677,2.71684236162585
"BIOCARTA_CYTOKINE_PATHWAY",0.949961958551567,-0.0618315362780281,4.44385724381687,0.000849483932978461,0.00512050037378683,-1.21153110799921
"BIOCARTA_NKT_PATHWAY",0.924832137089301,-0.0414448109422398,6.33055542287167,4.2112275853873e-05,0.000652740275735031,1.92098527244446
"BIOCARTA_TH1TH2_PATHWAY",0.921098446583985,-0.0648160573941601,5.1663528346668,0.000253547696692197,0.00261999286581937,0.0438574280248885
"BIOCARTA_NO2IL12_PATHWAY",0.891398827798193,-0.125649857344951,5.78699573869472,9.50988229518912e-05,0.00128977778628503,1.06788913251209
"BIOCARTA_CTLA4_PATHWAY",0.853620941236772,-0.0543303808820508,7.15229601542551,1.32519068136162e-05,0.000372224482226134,3.13388898967363
"BIOCARTA_RNA_PATHWAY",0.844598724876357,-0.0427749733526305,4.37737777545753,0.000952760853817972,0.00558781365617567,-1.33009965912333
"BIOCARTA_GRANULOCYTES_PATHWAY",0.83276671627502,-0.0191604238197191,4.62284732025824,0.000625493232003905,0.00439639579407216,-0.894682663020106
"BIOCARTA_DREAM_PATHWAY",0.822619579326053,-0.0546542029913513,5.48895898263107,0.000151266731962822,0.00175669057784777,0.582723280102491
"BIOCARTA_IL10_PATHWAY",0.805073459688695,0.00691503472776219,5.09923209924183,0.000282832801648691,0.00266846599816374,-0.0700104029264415
"BIOCARTA_INFLAM_PATHWAY",0.792032943645486,-0.0404353426679198,4.95581317622545,0.000357994499210098,0.00304939795446521,-0.31528655419991
"BIOCARTA_IL12_PATHWAY",0.779792368658574,-0.0558472887495419,4.94349084381607,0.000365365653530394,0.00304939795446521,-0.336483852745349
"BIOCARTA_CCR5_PATHWAY",0.723124756355055,0.053722756214782,3.86075359745304,0.00236581004497112,0.0114084617724163,-2.26541244956357
"BIOCARTA_TCR_PATHWAY",0.704782748671135,-0.033535250311589,5.47839310816377,0.000153811617415243,0.00175669057784777,0.565298535447368
"BIOCARTA_IL2_PATHWAY",0.68993904385989,-0.0331075593383877,4.00127948928684,0.00184185620531895,0.00999206991385531,-2.00886099378573
"BIOCARTA_ERYTH_PATHWAY",0.678939603700669,0.01405185158735,3.98356355191447,0.00190069782355926,0.0100597909198137,-2.04112844389225
"BIOCARTA_RANKL_PATHWAY",0.672347853754865,-0.0463671570151799,5.02305108766862,0.0003204344368877,0.00289726136685962,-0.199964237271447
"BIOCARTA_EPO_PATHWAY",0.666962582462493,-0.0230008283579454,4.59512342140799,0.000655682499244076,0.00444634694799889,-0.943523869361482
"BIOCARTA_PDGF_PATHWAY",0.661579206911916,-0.0115144447958057,4.56625618471077,0.000688740400603732,0.0045289899070003,-0.994472719050471
"BIOCARTA_IL3_PATHWAY",0.656819790425438,-0.0344036263303993,4.53387197219754,0.000727908115027335,0.00464576649885093,-1.05174085754488
"BIOCARTA_FCER1_PATHWAY",0.652848583078129,-0.00831077393472041,4.81526869815506,0.000452242472558582,0.00363468950167453,-0.558192242921391
"BIOCARTA_CDMAC_PATHWAY",0.652608204275862,-0.0312085637317422,4.24346579310687,0.00120248691702225,0.00686683318404812,-1.5702969552014
"BIOCARTA_STEM_PATHWAY",0.64917738525199,-0.0272786654502293,3.28064516879643,0.00677151348355244,0.0240888266546046,-3.3334275360341
"BIOCARTA_TPO_PATHWAY",0.645711350701469,-0.020268907564216,5.13747533465267,0.000265735284734234,0.00262111621760585,-0.00505932835664513
"BIOCARTA_SODD_PATHWAY",0.645645837512388,-0.0580461343433981,3.71905782894065,0.00305116492819205,0.0135123018248505,-2.52531077703183
"BIOCARTA_BCR_PATHWAY",0.630306235682181,-0.00592937240818215,4.62549992535897,0.00062268195452152,0.00439639579407216,-0.890014211837504
"BIOCARTA_IL22BP_PATHWAY",0.624278555364272,0.00557300655156757,3.12911996445126,0.00894138646262312,0.0289594158565555,-3.61250468988986
"BIOCARTA_TID_PATHWAY",0.623296770494808,-0.0311421195456635,3.33471589046832,0.0061334401712815,0.0221826086194681,-3.23369380946057
"BIOCARTA_TOLL_PATHWAY",0.580781378880438,-0.0180961261223936,4.4974190019726,0.000774794425293109,0.00480372543681727,-1.11634391353415
"BIOCARTA_EGF_PATHWAY",0.569644900788358,-0.00256866444239303,4.0909451696934,0.00157166439750486,0.00874490190406548,-1.84591507732222
"BIOCARTA_LAIR_PATHWAY",0.565144419573632,-0.0210173493800444,3.20822739194771,0.00773281588591241,0.0262190788631718,-3.46690380941031
"BIOCARTA_HIF_PATHWAY",0.551288048752309,0.00148963851970316,3.3996330288839,0.00544735827001643,0.0217864389614118,-3.11391379560739
"BIOCARTA_CSK_PATHWAY",0.547167545873394,-0.074793209005006,3.08333320522484,0.00972611427461998,0.0305879246027904,-3.69664261696741
"BIOCARTA_IL7_PATHWAY",0.546632610250633,0.0278936232529409,2.77873725184295,0.0170245987555983,0.0497458414343414,-4.25220437287618
"BIOCARTA_GPCR_PATHWAY",0.536356193156347,0.0154749415712208,3.09966178071484,0.00943861383971414,0.0301202824002642,-3.66665025877756
"BIOCARTA_PML_PATHWAY",0.532546298990737,-0.0055286439925854,3.46412074298148,0.00484298805936716,0.0202101617092822,-2.99492525567112
"BIOCARTA_CTCF_PATHWAY",0.529431310105268,0.0417572228503059,3.34618708577507,0.00600611278330053,0.0220902792199358,-3.21253009515829
"BIOCARTA_TNFR2_PATHWAY",0.518473878795977,0.0171681845742894,3.26546924583226,0.0069624119505204,0.0243684418268214,-3.36141009039547
"BIOCARTA_IL1R_PATHWAY",0.515596850462047,0.00366394045564756,3.88436169868833,0.00226805209914807,0.0111856205798893,-2.22222069838175
"BIOCARTA_TALL1_PATHWAY",0.506506742036877,-0.0456419668632852,3.94249972363796,0.00204467916158167,0.010564175668172,-2.11600842375447
"BIOCARTA_CBL_PATHWAY",0.488881527351277,0.00671458993065239,2.9808163048089,0.0117432570225349,0.0358913630125363,-3.88455030772189
"BIOCARTA_ETS_PATHWAY",0.485858225046702,-0.0221400723693863,3.23641578324898,0.00734321511003344,0.0252932964901152,-3.41496572992898
"BIOCARTA_NGF_PATHWAY",0.483724565175967,-0.0189433149879254,3.35429711554655,0.00591771602868825,0.0220902792199358,-3.19756681502956
"BIOCARTA_IGF1_PATHWAY",0.472324630401324,0.0117885076491849,3.02929878431888,0.0107417447410105,0.0332994086971325,-3.79577635037005
"BIOCARTA_NKCELLS_PATHWAY",0.468710161070633,-0.0363136218000793,2.89276484825864,0.0138069437374453,0.0416125943198005,-4.04527045876697
"BIOCARTA_NFKB_PATHWAY",0.468658446601025,0.0144684121032405,3.39218796696055,0.00552190849252373,0.0217864389614118,-3.12765171571786
"BIOCARTA_STRESS_PATHWAY",0.467915368304822,-0.00934735011044737,3.13397849744518,0.00886194988895154,0.0289594158565555,-3.60357022100371
"BIOCARTA_GLEEVEC_PATHWAY",0.438189628430264,-0.0125838111354859,3.34874520163274,0.00597808627482634,0.0220902792199358,-3.2078103441139
"BIOCARTA_KERATINOCYTE_PATHWAY",0.436779836337957,-0.0312805042569769,3.70209100488005,0.00314592852647261,0.0136533298048911,-2.55649812985312
"BIOCARTA_IL2RB_PATHWAY",0.420785374521336,-0.00439922251661052,3.44593618709271,0.0050061488364763,0.0204968735380256,-3.02847580449548
"BIOCARTA_MET_PATHWAY",0.362653446857381,0.0452341796801937,2.77336657980577,0.0171932631685512,0.0497458414343414,-4.26191196663789
"BIOCARTA_RHO_PATHWAY",-0.496236224636874,0.0621572849291368,-3.37117201842268,0.00573799698657114,0.0220902792199358,-3.1664305446144
"BIOCARTA_FIBRINOLYSIS_PATHWAY",-0.56843848826349,0.0862588389806885,-3.14117173772294,0.00874564451941744,0.0289594158565555,-3.59034031699493
"BIOCARTA_ETC_PATHWAY",-0.627182240745988,0.0141746343326054,-4.62043953303307,0.000628056542010309,0.00439639579407216,-0.898920951725694
"BIOCARTA_CELL2CELL_PATHWAY",-0.658049279044047,0.0507986475513199,-2.85231268646061,0.0148726100368107,0.0442103613423003,-4.1188525912125
"BIOCARTA_AMI_PATHWAY",-0.736024472725169,0.04209958574374,-3.72910567083537,0.00299643259418837,0.0135123018248505,-2.5068475031675
"BIOCARTA_SARS_PATHWAY",-0.750293218055829,0.0250035912385252,-4.66559845092662,0.000581758180066506,0.00439639579407216,-0.819542535241999
"BIOCARTA_EXTRINSIC_PATHWAY",-0.878113819743165,0.0612277157965098,-3.60067501220198,0.00377891204408376,0.0160789002660034,-2.74314978091689
"BIOCARTA_EGFR_SMRTE_PATHWAY",-0.894060306827343,0.0291803589207618,-3.77231638277444,0.00277231454379605,0.0127998352341222,-2.42750067719565
"BIOCARTA_GLYCOLYSIS_PATHWAY",-0.90723025864634,0.0997083054698843,-5.50324944965355,0.000147895309199107,0.00175669057784777,0.606266081524917
"BIOCARTA_FEEDER_PATHWAY",-0.921486581343869,0.0576286232773712,-5.86141495999891,8.48573548673433e-05,0.0012276030670809,1.18711303703056
"BIOCARTA_INTRINSIC_PATHWAY",-0.95462820287607,0.0246363508017524,-3.89088913507461,0.00224176499719644,0.0111856205798893,-2.21028471373638
"BIOCARTA_LECTIN_PATHWAY",-0.994512258003037,-0.0383372250058623,-3.82239961713757,0.00253398866952269,0.0119538161149223,-2.33565384288106
"BIOCARTA_NUCLEARRS_PATHWAY",-1.03410582271621,0.0823316514883518,-6.57293644347241,2.96689755394872e-05,0.000513496594094298,2.28822864773456
